Nível;CD_MUN;Município;Cana-2016;Soja-2016;Cana-2017;Soja-2017;Cana-2018;Soja-2018;Cana-2019;Soja-2019;Cana-2020;Soja-2020
MU;3500105;Adamantina (SP);80000;1800;80000;2400;70000;2400;75000;1800;70000;1800
MU;3500204;Adolfo (SP);80000;4500;90000;3601;90000;3983;90000;3458;90000;3600
MU;3500303;Aguaí (SP);90000;3071;90000;3739;85000;3960;85000;3500;85000;3083
MU;3500402;Águas da Prata (SP);0;0;0;0;0;0;0;0;0;0
MU;3500501;Águas de Lindóia (SP);0;0;0;3609;0;0;0;0;0;0
MU;3500550;Águas de Santa Bárbara (SP);63000;4130;80000;4056;70000;4000;75000;3080;55000;4050
MU;3500600;Águas de São Pedro (SP);0;0;0;0;0;0;0;0;0;0
MU;3500709;Agudos (SP);61000;0;70000;3733;61000;3595;70000;2748;70000;3120
MU;3500758;Alambari (SP);80000;3000;80000;3000;80000;3000;80000;3000;80000;3000
MU;3500808;Alfredo Marcondes (SP);0;0;0;0;0;0;0;0;0;0
MU;3500907;Altair (SP);80000;2545;80000;2545;80000;2545;80000;2500;75000;3000
MU;3501004;Altinópolis (SP);74000;3622;74000;3840;74000;3840;74000;3840;74000;3840
MU;3501103;Alto Alegre (SP);74230;0;65690;0;65690;0;80000;0;70000;0
MU;3501152;Alumínio (SP);100000;0;100000;0;100000;0;85000;0;100000;0
MU;3501202;Álvares Florence (SP);83798;3079;80000;3203;75002;3484;75002;3179;75000;3060
MU;3501301;Álvares Machado (SP);75000;0;80000;0;100000;0;100000;0;100000;3000
MU;3501400;Álvaro de Carvalho (SP);0;0;0;0;0;0;0;0;0;0
MU;3501509;Alvinlândia (SP);0;0;0;2700;0;3600;0;3600;0;0
MU;3501608;Americana (SP);80000;0;80000;0;80000;0;80000;0;80000;0
MU;3501707;Américo Brasiliense (SP);80000;0;80000;0;80000;0;80000;0;80000;0
MU;3501806;Américo de Campos (SP);78000;3383;78000;3189;70000;3371;70000;2612;71944;3360
MU;3501905;Amparo (SP);60000;0;60000;0;60000;0;60000;0;60000;3896
MU;3502002;Analândia (SP);85000;3000;85000;3300;85000;3300;85000;3300;85000;3300
MU;3502101;Andradina (SP);70000;1800;70000;3500;75000;3500;70000;2100;70000;2467
MU;3502200;Angatuba (SP);100000;4200;100000;4200;85000;4200;85000;3600;90000;4200
MU;3502309;Anhembi (SP);70000;2100;80000;2100;80000;0;79259;0;79259;0
MU;3502408;Anhumas (SP);60000;2700;75000;2000;75000;3180;75000;3180;73475;2400
MU;3502507;Aparecida (SP);0;0;0;0;0;0;0;0;0;0
MU;3502606;Aparecida d'Oeste (SP);80000;0;80000;0;80000;0;85000;0;85000;0
MU;3502705;Apiaí (SP);0;3000;0;3000;0;3000;0;3000;0;3000
MU;3502754;Araçariguama (SP);0;0;0;0;0;0;0;0;0;0
